"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-25,0,0,2,218,0.0248229090399797,1,218,0.0248229090399797,0.00917431192660551,NA,NA
2020-02-26,0,0,2,321,0.0365511642285939,2,321,0.0365511642285939,0.00623052959501558,NA,NA
2020-02-27,0,0,3,447,0.0508983501874813,3,447,0.0508983501874813,0.00671140939597315,NA,NA
2020-02-28,0,0,3,763,0.0868801816399289,4,763,0.0868801816399289,0.00393184796854522,NA,NA
2020-02-29,0,0,9,1649,0.187765949573057,5,1649,0.187765949573057,0.00545785324439054,NA,NA
2020-03-01,0,0,14,NA,NA,6,1962.39781987415,0.223451479753647,0.00713412940954952,NA,NA
2020-03-02,0,0,18,NA,NA,7,2306.02202003351,0.262578783719872,0.00780564966146267,"4","0.113003406131036"
2020-03-03,0,0,21,2683,0.305503967680117,8,2683,0.305503967680117,0.00782705926202013,NA,NA
2020-03-04,0,0,29,3138,0.357313250309432,9,3138,0.357313250309432,0.00924155513065647,"5","0.0969551282051282"
2020-03-05,0,0,41,3711,0.422558786455801,10,3711,0.422558786455801,0.0110482349770951,NA,NA
2020-03-06,0,0,55,4000,0.455466220917058,11,4000,0.455466220917058,0.01375,"6","0.166232725816143"
2020-03-07,0,0,79,4308,0.490537119927672,12,4308,0.490537119927672,0.0183379758588672,NA,NA
2020-03-08,0,0,104,4509,0.513424297528754,13,4509,0.513424297528754,0.0230649811488135,"7","0.497098258955373"
2020-03-09,0,2,131,4734,0.539044272455339,14,4734,0.539044272455339,0.0276721588508661,NA,NA
2020-03-10,0,4,182,5026,0.572293306582284,15,5026,0.572293306582284,0.0362116991643454,"8","0.232802098043171"
2020-03-11,0,4,246,5362,0.610552469139317,16,5362,0.610552469139317,0.0458784035807535,NA,NA
2020-03-12,1,4,302,5869,0.668282812640554,17,5869,0.668282812640554,0.0514568069517805,"9","0.0136081648989394"
2020-03-13,1,6,504,6582,0.74946966651902,18,6582,0.74946966651902,0.0765724703737466,NA,NA
2020-03-14,1,6,655,7467,0.850241567896919,19,7467,0.850241567896919,0.087719298245614,"10","0.000200240288346015"
2020-03-15,1,6,860,8167,0.929948156557404,20,8167,0.929948156557404,0.10530182441533,NA,NA
2020-03-16,3,6,1018,8490,0.966727053896457,21,8490,0.966727053896457,0.119905771495878,"11","0.0012012012012012"
2020-03-17,3,1,1332,10278,1.17032045464638,22,10278,1.17032045464638,0.129597197898424,NA,NA
2020-03-18,4,9,1646,11977,1.3637797319809,23,11977,1.3637797319809,0.137430074309092,"12","0.0893966726798958"
2020-03-19,6,9,2013,13724,1.56270460396643,24,13724,1.56270460396643,0.146677353541242,NA,NA
2020-03-20,6,9,2388,15613,1.77779852679451,25,15613,1.77779852679451,0.152949465189265,"13","0.238"
2020-03-21,8,9,2814,18545,2.11165526672671,26,18545,2.11165526672671,0.151739013211108,NA,NA
2020-03-22,16,9,3582,21368,2.43310055213893,27,21368,2.43310055213893,0.167633845001872,"14","0.143"
2020-03-23,21,9,4474,23429,2.66777952246644,28,23429,2.66777952246644,0.190959921464851,NA,NA
2020-03-24,28,9,5283,28391,3.23278536951405,29,28391,3.23278536951405,0.186080095805009,"15","0.000200682319887618"
2020-03-25,30,9,5588,32407,3.69007345531478,30,32407,3.69007345531478,0.172431882000802,NA,NA
2020-03-26,49,112,6909,35995,4.09862665547738,31,35995,4.09862665547738,0.19194332546187,"16","0.000202101859337106"
2020-03-27,58,225,7657,39552,4.50364999242787,32,39552,4.50364999242787,0.19359324433657,NA,NA
2020-03-28,68,225,8271,42750,4.86779523605106,33,42750,4.86779523605106,0.193473684210526,"17","2e-04"
2020-03-29,86,479,8788,46441,5.28807669140228,34,46441,5.28807669140228,0.189229344760018,NA,NA
2020-03-30,108,636,9618,49455,5.63127048886328,35,49455,5.63127048886328,0.19447983014862,"18","0.000200682319887618"
2020-03-31,128,1095,10180,52344,5.96023096692063,36,52344,5.96023096692063,0.194482653217179,NA,NA
2020-04-01,146,1436,10711,55863,6.36092737477241,37,55863,6.36092737477241,0.191736927841326,"19","0.000200120072043226"
2020-04-02,158,1749,11129,92190,10.4973577265859,38,92190,10.4973577265859,0.120718082221499,NA,NA
2020-04-03,168,2022,11524,98343,11.1979786409116,39,98343,11.1979786409116,0.117181700781957,NA,NA
2020-04-04,186,2507,11781,104134,11.8573798622442,40,104134,11.8573798622442,0.113133078533428,NA,NA
2020-04-05,204,2998,12051,108416,12.344956451736,41,108416,12.344956451736,0.111155180047226,NA,NA
2020-04-06,220,3463,12297,111296,12.6728921307962,42,111296,12.6728921307962,0.110489146060955,NA,NA
2020-04-07,243,4046,12639,115235,13.1214124918443,43,115235,13.1214124918443,0.10968021868356,NA,NA
2020-04-08,273,4512,12942,120755,13.7499558767099,44,120755,13.7499558767099,0.107175686306985,NA,NA
2020-04-09,295,5240,13244,126287,14.3798656602381,45,126287,14.3798656602381,0.104872235463666,NA,NA
2020-04-10,319,6064,13555,134743,15.3427212512568,46,134743,15.3427212512568,0.100598917940079,NA,NA
