"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-25,0,0,0,5,0.00384450071084818,1,5,0.00384450071084818,0,NA,NA
2020-02-26,0,0,0,13,0.00999570184820527,2,13,0.00999570184820527,0,NA,NA
2020-02-27,0,0,1,23,0.0176847032699016,3,23,0.0176847032699016,0.0434782608695652,NA,NA
2020-02-28,0,0,1,36,0.0276804051181069,4,36,0.0276804051181069,0.0277777777777778,NA,NA
2020-02-29,0,0,1,44,0.033831606255464,5,44,0.033831606255464,0.0227272727272727,NA,NA
2020-03-01,0,0,1,62,0.0476718088145175,6,62,0.0476718088145175,0.0161290322580645,NA,NA
2020-03-02,0,0,1,84,0.0645876119422495,7,84,0.0645876119422495,0.0119047619047619,"4","0.313513513513514"
2020-03-03,0,0,2,113,0.0868857160651689,8,113,0.0868857160651689,0.0176991150442478,NA,NA
2020-03-04,0,0,2,149,0.114566121183276,9,149,0.114566121183276,0.0134228187919463,"5","0.439783219590526"
2020-03-05,0,0,3,184,0.141477626159213,10,184,0.141477626159213,0.016304347826087,NA,NA
2020-03-06,0,0,10,255,0.196069536253257,11,255,0.196069536253257,0.0392156862745098,"6","0.3522"
2020-03-07,0,0,10,284,0.218367640376177,12,284,0.218367640376177,0.0352112676056338,NA,NA
2020-03-08,0,0,10,304,0.233745643219569,13,304,0.233745643219569,0.0328947368421053,"7","0.3624"
2020-03-09,0,0,10,368,0.282955252318426,14,368,0.282955252318426,0.0271739130434783,NA,NA
2020-03-10,0,0,12,425,0.326782560422095,15,425,0.326782560422095,0.0282352941176471,"8","0.305705705705706"
2020-03-11,0,0,16,491,0.377529969805291,16,491,0.377529969805291,0.0325865580448065,NA,NA
2020-03-12,0,0,16,622,0.478255888429514,17,622,0.478255888429514,0.0257234726688103,"9","0.30838683788122"
2020-03-13,0,0,79,805,0.618964614446557,18,805,0.618964614446557,0.0981366459627329,NA,NA
2020-03-14,0,0,115,968,0.744295337620208,19,968,0.744295337620208,0.118801652892562,"10","0.14271417133707"
2020-03-15,0,1,171,1464,1.12566980813635,20,1464,1.12566980813635,0.116803278688525,NA,NA
2020-03-16,0,1,205,1769,1.36018435149809,21,1769,1.36018435149809,0.115884680610514,"11","0.244852644327816"
2020-03-17,0,1,225,1960,1.50704427865249,22,1960,1.50704427865249,0.114795918367347,NA,NA
2020-03-18,0,1,258,2499,1.92148145528192,23,2499,1.92148145528192,0.103241296518607,"12","0.351851851851852"
2020-03-19,0,1,267,2850,2.19136540518346,24,2850,2.19136540518346,0.0936842105263158,NA,NA
2020-03-20,0,1,283,3243,2.49354316105613,25,3243,2.49354316105613,0.0872648781991983,"13","0.4006"
2020-03-21,0,1,306,3880,2.98333255161819,26,3880,2.98333255161819,0.0788659793814433,NA,NA
2020-03-22,0,2,326,4040,3.10635657436533,27,4040,3.10635657436533,0.0806930693069307,"14","0.4082"
2020-03-23,0,2,352,4535,3.4869621447393,28,4535,3.4869621447393,0.0776185226019846,NA,NA
2020-03-24,0,7,369,5938,4.5657290442033,29,5938,4.5657290442033,0.0621421353991243,"15","0.0500500500500501"
2020-03-25,1,8,404,6985,5.37076749305491,30,6985,5.37076749305491,0.0578382247673586,NA,NA
2020-03-26,1,8,538,8124,6.24654475498613,31,8124,6.24654475498613,0.0662235352043328,"16","0.485085085085085"
2020-03-27,1,11,575,9377,7.20997663312468,32,9377,7.20997663312468,0.0613202516796417,NA,NA
2020-03-28,1,20,645,10412,8.00578828027025,33,10412,8.00578828027025,0.0619477525931617,"17","0.441743672157493"
2020-03-29,3,20,679,11263,8.66012230125661,34,11263,8.66012230125661,0.0602858918582971,NA,NA
2020-03-30,3,20,715,12416,9.5466641651782,35,12416,9.5466641651782,0.0575869845360825,"18","0.384030418250951"
2020-03-31,4,26,745,14393,11.0667797462476,36,14393,11.0667797462476,0.0517612728409644,NA,NA
2020-04-01,5,33,779,15766,12.1224796414465,37,15766,12.1224796414465,0.0494101230496004,"19","0.138872165362232"
2020-04-02,11,45,858,18273,14.0501122978658,38,18273,14.0501122978658,0.0469545230668199,NA,NA
2020-04-03,12,48,961,19805,15.2280673156696,39,19805,15.2280673156696,0.0485231002272154,NA,NA
2020-04-04,13,59,1039,20991,16.1399828842828,40,20991,16.1399828842828,0.049497403649183,NA,NA
2020-04-05,15,62,1097,21852,16.8020059066909,41,21852,16.8020059066909,0.0502013545670877,NA,NA
2020-04-06,19,62,1108,23532,18.0937581455359,42,23532,18.0937581455359,0.0470848206697263,NA,NA
2020-04-07,21,69,1149,24805,19.0725680265178,43,24805,19.0725680265178,0.0463213061882685,NA,NA
2020-04-08,24,72,1185,26412,20.3081905549844,44,26412,20.3081905549844,0.0448659700136302,NA,NA
2020-04-09,24,83,1207,27882,21.4384737639738,45,27882,21.4384737639738,0.0432895775052005,NA,NA
2020-04-10,24,93,1258,29456,22.6487225877488,46,29456,22.6487225877488,0.0427077675176534,NA,NA
