"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-03-12,0,1,59,1393,0.249635895383743,1,1393,0.249635895383743,0.0423546302943288,NA,NA
2020-03-13,0,1,155,1802,0.32293171822075,2,1802,0.32293171822075,0.086015538290788,NA,NA
2020-03-14,0,1,225,2388,0.427947249229274,3,2388,0.427947249229274,0.0942211055276382,NA,NA
2020-03-15,0,10,244,3058,0.548016201064958,4,3058,0.548016201064958,0.0797907128842381,NA,NA
2020-03-16,0,10,277,3870,0.693532602394175,5,3870,0.693532602394175,0.0715762273901809,NA,NA
2020-03-17,0,10,321,4987,0.893707257917248,6,4987,0.893707257917248,0.0643673551233206,NA,NA
2020-03-18,0,10,336,6002,1.07560275957877,7,6002,1.07560275957877,0.0559813395534822,"4","0.450271247739602"
2020-03-19,0,10,400,6778,1.2146676948392,8,6778,1.2146676948392,0.0590144585423429,NA,NA
2020-03-20,0,10,450,8046,1.44190266637301,9,8046,1.44190266637301,0.0559284116331096,"5","0.466479325572059"
2020-03-21,1,10,523,9641,1.72773845469825,10,9641,1.72773845469825,0.0542474847007572,NA,NA
2020-03-22,1,10,626,10693,1.91626462981936,11,10693,1.91626462981936,0.0585429720377817,"6","0.438691551274333"
2020-03-23,1,10,700,12012,2.15263917828394,12,12012,2.15263917828394,0.0582750582750583,NA,NA
2020-03-24,1,10,792,13591,2.43560764835639,13,13591,2.43560764835639,0.0582738576999485,"7","0.4446"
2020-03-25,3,10,880,15440,2.76696211394472,14,15440,2.76696211394472,0.0569948186528497,NA,NA
2020-03-26,5,10,958,17277,3.09616609084345,15,17277,3.09616609084345,0.0554494414539561,"8","0.311173408089708"
2020-03-27,7,10,1041,19732,3.53612023525629,16,19732,3.53612023525629,0.0527569430366917,NA,NA
2020-03-28,9,10,1167,20939,3.75242355595133,17,20939,3.75242355595133,0.0557333205979273,"9","0.365"
2020-03-29,11,10,1240,21522,3.85690146478745,18,21522,3.85690146478745,0.0576154632469101,NA,NA
2020-03-30,13,10,1352,22755,4.07786417764327,19,22755,4.07786417764327,0.0594155130740497,"10","0.356213728236942"
2020-03-31,17,10,1418,23840,4.27230419666076,20,23840,4.27230419666076,0.0594798657718121,NA,NA
2020-04-01,17,10,1446,25726,4.61028933570867,21,25726,4.61028933570867,0.0562077275907642,"11","0.168169973942674"
2020-04-02,19,300,1518,27679,4.96028136994015,22,27679,4.96028136994015,0.0548430217854691,NA,NA
2020-04-03,20,300,1615,29346,5.25902009040296,23,29346,5.25902009040296,0.0550330539085395,NA,NA
2020-04-04,25,300,1882,31937,5.72334643996454,24,31937,5.72334643996454,0.05892851551492,NA,NA
2020-04-05,28,300,1927,33563,6.01473765740457,25,33563,6.01473765740457,0.0574144146828353,NA,NA
2020-04-06,27,300,2176,35487,6.35953267730286,26,35487,6.35953267730286,0.0613182292106969,NA,NA
2020-04-07,34,300,2308,37564,6.73174642799348,27,37564,6.73174642799348,0.0614418059844532,NA,NA
2020-04-08,40,300,2487,39877,7.14625312291279,28,39877,7.14625312291279,0.0623667778418637,NA,NA
2020-04-09,42,300,2605,42039,7.53369950182137,29,42039,7.53369950182137,0.0619662694164942,NA,NA
2020-04-10,48,300,2769,44354,7.94856461152228,30,44354,7.94856461152228,0.0624295441222889,NA,NA
