"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-26,0,0,0,41,0.119454123789434,1,41,0.119454123789434,0,NA,NA
2020-02-27,0,0,0,64,0.186464973720093,2,64,0.186464973720093,0,NA,NA
2020-02-28,0,0,1,77,0.224340671506987,3,77,0.224340671506987,0.012987012987013,NA,NA
2020-02-29,0,0,1,109,0.317573158367033,4,109,0.317573158367033,0.00917431192660551,NA,NA
2020-03-01,0,0,3,131,0.381670493083315,5,131,0.381670493083315,0.0229007633587786,NA,NA
2020-03-02,0,0,6,179,0.521519223373384,6,179,0.521519223373384,0.0335195530726257,NA,NA
2020-03-03,0,0,11,224,0.652627408020325,7,224,0.652627408020325,0.0491071428571429,"4","0.046875"
2020-03-04,0,0,26,305,0.888622140384817,8,305,0.888622140384817,0.0852459016393443,NA,NA
2020-03-05,0,0,34,367,1.06926008367616,9,367,1.06926008367616,0.0926430517711172,"5","0.00140224358974359"
2020-03-06,0,0,43,424,1.23533045089561,10,424,1.23533045089561,0.101415094339623,NA,NA
2020-03-07,0,0,50,482,1.40431433332945,11,482,1.40431433332945,0.103734439834025,"6","0.0136217948717949"
2020-03-08,0,0,50,519,1.51211439626138,12,519,1.51211439626138,0.0963391136801541,NA,NA
2020-03-09,0,0,58,617,1.79763888727027,13,617,1.79763888727027,0.0940032414910859,"7","0.178106864118471"
2020-03-10,0,1,69,786,2.29002295849989,14,786,2.29002295849989,0.0877862595419847,NA,NA
2020-03-11,0,1,85,935,2.72413672544198,15,935,2.72413672544198,0.0909090909090909,"8","0.154246794871795"
2020-03-12,0,1,103,1188,3.46125607467922,16,1188,3.46125607467922,0.0867003367003367,NA,NA
2020-03-13,0,1,134,1545,4.50138100621161,17,1545,4.50138100621161,0.0867313915857605,"9","0.0442974543996793"
2020-03-14,0,1,156,1868,5.44244642045521,18,1868,5.44244642045521,0.0835117773019272,NA,NA
2020-03-15,5,8,171,2943,8.57447527590989,19,2943,8.57447527590989,0.0581039755351682,"10","0.098735701384708"
2020-03-16,0,0,180,4650,13.5478457468505,20,4650,13.5478457468505,0.0387096774193548,NA,NA
2020-03-17,1,0,220,6050,17.6267670469775,21,6050,17.6267670469775,0.0363636363636364,"11","0.0102347983142685"
2020-03-18,1,5,250,7878,22.9526728588577,22,7878,22.9526728588577,0.0317339426250317,NA,NA
2020-03-19,1,5,330,9189,26.7722913049052,23,9189,26.7722913049052,0.0359125040809664,"12","0.0634253701480592"
2020-03-20,0,5,409,9768,28.4592166140292,24,9768,28.4592166140292,0.0418714168714169,NA,NA
2020-03-21,1,22,473,10118,29.4789469390609,25,10118,29.4789469390609,0.0467483692429334,"13","0.499"
2020-03-22,1,36,568,10301,30.0121202232918,26,10301,30.0121202232918,0.0551402776429473,NA,NA
2020-03-23,1,36,588,10760,31.3494237066906,27,10760,31.3494237066906,0.0546468401486989,"14","0.377"
2020-03-24,2,51,648,11727,34.1667929189926,28,11727,34.1667929189926,0.0552570990023024,NA,NA
2020-03-25,2,56,737,12615,36.7539944293589,29,12615,36.7539944293589,0.0584225128814903,"15","0.170541082164329"
2020-03-26,2,82,802,13613,39.6616826133066,30,13613,39.6616826133066,0.0589142731212811,NA,NA
2020-03-27,2,97,890,14635,42.6392951623993,31,14635,42.6392951623993,0.0608131192347113,"16","0.1136"
2020-03-28,2,114,963,15484,45.1128695794049,32,15484,45.1128695794049,0.062193231723069,NA,NA
2020-03-29,2,135,1020,16484,48.0263847937814,33,16484,48.0263847937814,0.0618781849065761,"17","0.0662"
2020-03-30,2,157,1086,17904,52.163576398196,34,17904,52.163576398196,0.060656836461126,NA,NA
2020-03-31,2,198,1135,19516,56.8601629237708,35,19516,56.8601629237708,0.0581574093051855,"18","0.369421652991795"
2020-04-01,2,225,1220,20930,60.9798734368991,36,20930,60.9798734368991,0.0582895365504061,NA,NA
2020-04-02,4,284,1319,22195,64.6654701830853,37,22195,64.6654701830853,0.059427799053841,"19","0.0526846992329431"
2020-04-03,4,309,1364,23640,68.8754996678593,38,23640,68.8754996678593,0.0576988155668359,NA,NA
2020-04-04,4,396,1417,25394,73.9858053538756,39,25394,73.9858053538756,0.0558005828148381,NA,NA
2020-04-05,4,428,1486,27880,81.2288041768154,40,27880,81.2288041768154,0.053299856527977,NA,NA
2020-04-06,6,460,1562,28992,84.468633095202,41,28992,84.468633095202,0.0538769315673289,NA,NA
2020-04-07,6,559,1586,30947,90.164555339308,42,30947,90.164555339308,0.0512489094257925,NA,NA
2020-04-08,6,633,1616,32623,95.0476068386029,43,32623,95.0476068386029,0.0495356037151703,NA,NA
2020-04-09,6,688,1648,NA,NA,44,33523.142662126,97.6701861788909,0.0491600688100727,NA,NA
2020-04-10,7,751,1675,34125,99.4237066905963,45,34125,99.4237066905963,0.0490842490842491,NA,NA
