"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-24,7,1,229,4324,0.0731244446647423,1,4324,0.0731244446647423,0.0529602220166513,NA,NA
2020-02-25,10,1,322,8623,0.145826106925086,2,8623,0.145826106925086,0.0373419923460513,NA,NA
2020-02-26,12,3,453,9587,0.162128596438687,3,9587,0.162128596438687,0.0472514863878168,NA,NA
2020-02-27,17,45,655,12014,0.203172312257681,4,12014,0.203172312257681,0.054519726985184,NA,NA
2020-02-28,21,46,888,15695,0.265422793481297,5,15695,0.265422793481297,0.0565785281936923,NA,NA
2020-02-29,29,46,1128,18661,0.31558169793912,6,18661,0.31558169793912,0.0604469213868496,NA,NA
2020-03-01,34,83,1694,21127,0.357284954308975,7,21127,0.357284954308975,0.0801817579400767,"4","0.457274364618771"
2020-03-02,52,149,2036,23345,0.394794209227199,8,23345,0.394794209227199,0.0872135360890983,NA,NA
2020-03-03,79,160,2502,25856,0.437258473924971,9,25856,0.437258473924971,0.0967667079207921,"5","0.394030448717949"
2020-03-04,107,276,3089,29837,0.504582344001368,10,29837,0.504582344001368,0.103529175185173,NA,NA
2020-03-05,148,414,3858,32362,0.547283366845603,11,32362,0.547283366845603,0.119213892837278,"6","0.0509528585757272"
2020-03-06,197,523,4636,36359,0.614877817660815,12,36359,0.614877817660815,0.127506257047774,NA,NA
2020-03-07,233,589,5883,42062,0.711322939752171,13,42062,0.711322939752171,0.139864961247682,"7","0.0508304982989794"
2020-03-08,366,622,7375,49937,0.844499397137658,14,49937,0.844499397137658,0.147686084466428,NA,NA
2020-03-09,463,724,9172,53826,0.910267427965869,15,53826,0.910267427965869,0.170400921487757,"8","0.000201085863663784"
2020-03-10,631,724,10149,60761,1.02754726694598,16,60761,1.02754726694598,0.167031484011126,NA,NA
2020-03-11,827,1045,12462,73154,1.23712896045434,17,73154,1.23712896045434,0.170352954042158,"9","0.350270054010802"
2020-03-12,827,1045,12462,86011,1.45455749538833,18,86011,1.45455749538833,0.144888444501285,NA,NA
2020-03-13,1266,1439,17660,97488,1.64864844159954,19,97488,1.64864844159954,0.18115050057443,"10","0.389123018262091"
2020-03-14,1441,1966,21157,109170,1.84620620352681,20,109170,1.84620620352681,0.193798662636255,NA,NA
2020-03-15,1809,2335,24747,124899,2.11220398107809,21,124899,2.11220398107809,0.198136093963923,"11","0.242776886035313"
2020-03-16,2158,2749,27980,137962,2.33311624302432,22,137962,2.33311624302432,0.202809469274148,NA,NA
2020-03-17,2503,2941,31506,148657,2.51398255562595,23,148657,2.51398255562595,0.211937547508695,"12","0.092"
2020-03-18,2978,4025,35713,165541,2.79951288026043,24,165541,2.79951288026043,0.215735074694487,NA,NA
2020-03-19,3405,4440,41035,182777,3.09099598114884,25,182777,3.09099598114884,0.224508554139744,"13","0.000200883889112093"
2020-03-20,4032,4440,47021,206886,3.49871042065446,26,206886,3.49871042065446,0.227279757934321,NA,NA
2020-03-21,4825,6072,53578,233222,3.94408631674388,27,233222,3.94408631674388,0.22972961384432,"14","0.00480096019203841"
2020-03-22,5476,7024,59138,258402,4.36991275445392,28,258402,4.36991275445392,0.228860457736395,NA,NA
2020-03-23,6077,7024,63927,275468,4.65852093499242,29,275468,4.65852093499242,0.232066882541711,"15","0.012"
2020-03-24,6820,8326,69176,296964,5.02204615759032,30,296964,5.02204615759032,0.232944060559529,NA,NA
2020-03-25,7503,9362,74386,324445,5.48678548780118,31,324445,5.48678548780118,0.229271525219991,"16","0.0477623921332531"
2020-03-26,8215,10361,80589,361060,6.10599259728303,32,361060,6.10599259728303,0.223201130006093,NA,NA
2020-03-27,9134,10950,86498,394079,6.66438668571623,33,394079,6.66438668571623,0.219494060835518,"17","0.3862"
2020-03-28,10023,12384,92472,429526,7.26384140126459,34,429526,7.26384140126459,0.215288480790453,NA,NA
2020-03-29,10779,13030,97689,454030,7.6782358027597,35,454030,7.6782358027597,0.215159791203224,"18","0.1474"
2020-03-30,11591,14620,101739,477359,8.07275943124808,36,477359,8.07275943124808,0.213128902984965,NA,NA
2020-03-31,12428,15729,105792,506968,8.57348599972134,37,506968,8.57348599972134,0.208675892758517,"19","0.0434521425710853"
2020-04-01,13155,16847,110574,541423,9.15616470946317,38,541423,9.15616470946317,0.204228486783901,NA,NA
2020-04-02,13915,18278,115242,581232,9.82938649893096,39,581232,9.82938649893096,0.198271946486085,"20","0.31622383252818"
2020-04-03,14681,19758,119827,619849,10.482450023357,40,619849,10.482450023357,0.193316436745078,NA,NA
2020-04-04,15362,20996,124632,657224,11.1145097179326,41,657224,11.1145097179326,0.189633975630835,NA,NA
2020-04-05,15887,21815,128948,691461,11.6935017651081,42,691461,11.6935017651081,0.186486294960959,NA,NA
2020-04-06,16523,22837,132547,721732,12.2054236116498,43,721732,12.2054236116498,0.183651272217388,NA,NA
2020-04-07,17127,24392,135586,755445,12.7755541396291,44,755445,12.7755541396291,0.179478320724871,NA,NA
2020-04-08,17669,26491,139422,807125,13.6495299260014,45,807125,13.6495299260014,0.172739042899179,NA,NA
2020-04-09,18279,28470,143626,853369,14.4315759063613,46,853369,14.4315759063613,0.168304684140155,NA,NA
2020-04-10,18849,30455,147577,906864,15.336245695293,47,906864,15.336245695293,0.162733331569011,NA,NA
