"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-26,2,22,189,1890,0.0149412256059689,1,1890,0.0149412256059689,0.1,NA,NA
2020-02-27,4,22,214,2058,0.0162693345487217,2,2058,0.0162693345487217,0.103984450923226,NA,NA
2020-02-28,4,22,228,2209,0.0174630515151245,3,2209,0.0174630515151245,0.103214124038026,NA,NA
2020-02-29,5,32,241,2339,0.0184907548636832,4,2339,0.0184907548636832,0.103035485250107,NA,NA
2020-03-01,6,32,256,2339,0.0184907548636832,5,2339,0.0184907548636832,0.109448482257375,NA,NA
2020-03-02,6,32,274,2517,0.0198979179101712,6,2517,0.0198979179101712,0.10885975367501,NA,NA
2020-03-03,6,43,293,2684,0.0212181214425505,7,2684,0.0212181214425505,0.109165424739195,"4","0.000200601805416249"
2020-03-04,6,43,331,6519,0.0515353702250323,8,6519,0.0515353702250323,0.0507746586899831,NA,NA
2020-03-05,6,43,360,6777,0.0535749661014027,9,6777,0.0535749661014027,0.0531208499335989,"5","0.128004807692308"
2020-03-06,6,46,420,7476,0.0591008479524991,10,7476,0.0591008479524991,0.0561797752808989,NA,NA
2020-03-07,6,76,461,8029,0.0634725398890604,11,8029,0.0634725398890604,0.0574168638684768,"6","0.298795180722892"
2020-03-08,6,76,502,8176,0.0646346352139691,12,8176,0.0646346352139691,0.061399217221135,NA,NA
2020-03-09,10,76,511,8286,0.0655042303550572,13,8286,0.0655042303550572,0.0616702872314748,"7","0.454800561234716"
2020-03-10,10,101,581,9600,0.0758919395858737,14,9600,0.0758919395858737,0.0605208333333333,NA,NA
2020-03-11,15,118,639,10024,0.0792438335842498,15,10024,0.0792438335842498,0.0637470071827614,"8","0.437900641025641"
2020-03-12,16,118,639,10205,0.0806747128618584,16,10205,0.0806747128618584,0.0626163645271925,NA,NA
2020-03-13,19,118,701,11231,0.0887856639050987,17,11231,0.0887856639050987,0.0624165256878283,"9","0.0997391129841461"
2020-03-14,22,118,773,12060,0.0953392491047538,18,12060,0.0953392491047538,0.0640961857379768,NA,NA
2020-03-15,22,118,839,13026,0.102975875525582,19,13026,0.102975875525582,0.0644096422539536,"10","0.0256821829855538"
2020-03-16,27,144,839,13068,0.103307902761271,20,13068,0.103307902761271,0.0642026323844506,NA,NA
2020-03-17,29,144,878,15655,0.123759199397589,21,15655,0.123759199397589,0.0560843181092303,"11","0.2414"
2020-03-18,29,144,889,14525,0.114826085675502,22,14525,0.114826085675502,0.0612048192771084,NA,NA
2020-03-19,29,150,924,15354,0.121379670875157,23,15354,0.121379670875157,0.0601797577178585,"12","0.393150410574805"
2020-03-20,33,191,963,18844,0.148969553078771,24,18844,0.148969553078771,0.0511037996179155,NA,NA
2020-03-21,35,232,1007,18963,0.149910296913221,25,18963,0.149910296913221,0.0531034119073986,"13","0.150300601202405"
2020-03-22,41,235,1101,20228,0.159910641035735,26,20228,0.159910641035735,0.0544295036582954,NA,NA
2020-03-23,42,235,1128,20340,0.16079604699757,27,20340,0.16079604699757,0.0554572271386431,"14","0.31074578989575"
2020-03-24,43,285,1193,24430,0.193129175425301,28,24430,0.193129175425301,0.0488334015554646,NA,NA
2020-03-25,45,310,1307,23521,0.185943157395764,29,23521,0.185943157395764,0.0555673653331066,"15","0.210779402925265"
2020-03-26,47,359,1387,25171,0.198987084512086,30,25171,0.198987084512086,0.0551030948313535,NA,NA
2020-03-27,49,372,1468,27005,0.213485607137137,31,27005,0.213485607137137,0.0543603036474727,"16","0.0528105621124225"
2020-03-28,52,404,1693,28464,0.225019600872115,32,28464,0.225019600872115,0.0594786396852164,NA,NA
2020-03-29,54,424,1866,28760,0.22735960234268,33,28760,0.22735960234268,0.0648817802503477,"17","0.36016016016016"
2020-03-30,54,424,1866,28966,0.228988116879627,34,28966,0.228988116879627,0.0644203548988469,NA,NA
2020-03-31,56,424,1953,32497,0.256902120908556,35,32497,0.256902120908556,0.0600978551866326,"18","0.382157926461724"
2020-04-01,57,472,2178,34508,0.272799901169722,36,34508,0.272799901169722,0.06311579923496,NA,NA
2020-04-02,62,472,2495,34510,0.272815711990469,37,34510,0.272815711990469,0.0722978846711098,"19","0.216703384738634"
2020-04-03,63,514,2617,39446,0.311836817594205,38,39446,0.311836817594205,0.0663438624955636,NA,NA
2020-04-04,77,514,3139,42882,0.338999807637649,39,42882,0.338999807637649,0.073200876824775,NA,NA
2020-04-05,77,514,3139,44639,0.352889613663939,40,44639,0.352889613663939,0.0703196756199736,NA,NA
2020-04-06,85,575,3654,46172,0.365008607766558,41,46172,0.365008607766558,0.0791388720436628,NA,NA
2020-04-07,92,592,3906,55311,0.437256153170235,42,55311,0.437256153170235,0.0706188642403862,NA,NA
2020-04-08,93,622,4257,61498,0.486166927151256,43,61498,0.486166927151256,0.0692217633093759,NA,NA
2020-04-09,94,632,4667,64387,0.50900565772038,44,64387,0.50900565772038,0.0724835758771181,NA,NA
2020-04-10,99,685,5530,68771,0.543662976797929,45,68771,0.543662976797929,0.0804118014860915,NA,NA
