"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-01-22,0,0,1,16,0.000310637539867173,1,16,0.000310637539867173,0.0625,NA,NA
2020-01-23,0,0,1,NA,NA,2,18.2386033737254,0.000354099689258082,0.0548287596099932,NA,NA
2020-01-24,0,0,2,25,0.000485371156042458,3,25,0.000485371156042458,0.08,NA,NA
2020-01-25,0,0,2,NA,NA,4,32.4408222921771,0.000629833565545721,0.0616507184061819,NA,NA
2020-01-26,0,0,3,48,0.00093191261960152,5,48,0.00093191261960152,0.0625,NA,NA
2020-01-27,0,0,4,57,0.00110664623577681,6,57,0.00110664623577681,0.0701754385964912,NA,NA
2020-01-28,0,0,4,187,0.00363057624719759,7,187,0.00363057624719759,0.0213903743315508,"4","0.103123748498198"
2020-01-29,0,0,4,NA,NA,8,213.751713835808,0.00414995678147715,0.0187133002501798,NA,NA
2020-01-30,0,0,4,244,0.00473722248297439,9,244,0.00473722248297439,0.0163934426229508,"5","0.172903742245347"
2020-01-31,0,0,11,NA,NA,10,301.935201905858,0.00586202563917082,0.0364316579536484,NA,NA
2020-02-01,0,0,12,371,0.00720290795567008,11,371,0.00720290795567008,0.032345013477089,"6","0.308817635270541"
2020-02-02,0,0,15,429,0.00832896903768859,12,429,0.00832896903768859,0.034965034965035,NA,NA
2020-02-03,0,0,15,429,0.00832896903768859,13,429,0.00832896903768859,0.034965034965035,"7","0.2562"
2020-02-04,0,0,16,607,0.0117848116687109,14,607,0.0117848116687109,0.0263591433278418,NA,NA
2020-02-05,0,0,19,714,0.0138622002165726,15,714,0.0138622002165726,0.0266106442577031,"8","0.164"
2020-02-06,0,0,23,885,0.017182138923903,16,885,0.017182138923903,0.0259887005649717,NA,NA
2020-02-07,0,1,24,1130,0.0219387762531191,17,1130,0.0219387762531191,0.0212389380530973,"9","0.1922"
2020-02-08,0,1,24,1701,0.0330246534571289,18,1701,0.0330246534571289,0.0141093474426808,NA,NA
2020-02-09,0,3,25,2340,0.0454307402055741,19,2340,0.0454307402055741,0.0106837606837607,"10","0.258807045636509"
2020-02-10,0,3,27,2776,0.0538956131669546,20,2776,0.0538956131669546,0.00972622478386167,NA,NA
2020-02-11,0,3,28,3629,0.0704564770111232,21,3629,0.0704564770111232,0.00771562413888123,"11","0.208375075135243"
