"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-14,0,3,19,653,0.0198665485139441,1,653,0.0198665485139441,0.0290964777947933,NA,NA
2020-02-15,0,7,22,NA,NA,2,650.337207700752,0.0197855370405902,0.0338286042063937,NA,NA
2020-02-16,0,7,22,656,0.0199578190277907,3,656,0.0199578190277907,0.0335365853658537,NA,NA
2020-02-17,0,7,22,757,0.0230305929939598,4,757,0.0230305929939598,0.0290620871862616,NA,NA
2020-02-18,0,13,22,797,0.0242475331785811,5,797,0.0242475331785811,0.027603513174404,NA,NA
2020-02-19,0,15,22,NA,NA,6,836.498521476389,0.0254492166289269,0.026300106258611,NA,NA
2020-02-20,0,15,22,880,0.0267726840616705,7,880,0.0267726840616705,0.025,"4","0.30518310986592"
2020-02-21,0,15,22,968,0.0294499524678376,8,968,0.0294499524678376,0.0227272727272727,NA,NA
2020-02-22,0,15,22,NA,NA,9,996.316521409768,0.0303114402873234,0.0220813361288744,"5","0.4248"
2020-02-23,0,15,22,1028,0.0312753627447697,10,1028,0.0312753627447697,0.0214007782101167,NA,NA
2020-02-24,0,18,22,1054,0.0320663738647735,11,1054,0.0320663738647735,0.0208728652751423,"6","0.0553883202889825"
2020-02-25,0,18,22,1067,0.0324618794247755,12,1067,0.0324618794247755,0.0206185567010309,NA,NA
2020-02-26,0,18,22,1091,0.0331920435355483,13,1091,0.0331920435355483,0.0201649862511457,"7","0.00242228502220428"
2020-02-27,0,18,23,1545,0.0470043146310011,14,1545,0.0470043146310011,0.0148867313915858,NA,NA
2020-02-28,0,18,23,1548,0.0470955851448477,15,1548,0.0470955851448477,0.0148578811369509,"8","0.000400320256204964"
2020-02-29,0,18,25,NA,NA,16,1607.38910493741,0.0489024098515016,0.015553172485248,NA,NA
2020-03-01,0,18,29,NA,NA,17,1669.43895423547,0.0507901837282008,0.0173711053802987,"9","0.0625375826819002"
2020-03-02,0,18,29,1739,0.0529064745264148,18,1739,0.0529064745264148,0.0166762507188039,NA,NA
2020-03-03,0,22,36,NA,NA,19,1854.3526471452,0.0564159063186366,0.0194137830554628,"10","0.186311787072243"
2020-03-04,0,22,50,1983,0.0603298096526053,20,1983,0.0603298096526053,0.0252143217347453,NA,NA
2020-03-05,0,22,50,NA,NA,21,2061.00642627979,0.0627030385216963,0.0242599922845715,"11","0.40625"
2020-03-06,0,22,83,NA,NA,22,2161.7751274131,0.0657687755660052,0.038394372729842,NA,NA
2020-03-07,0,23,93,NA,NA,23,2293.8406154065,0.0697866705502407,0.0405433574483636,"12","0.130078046828097"
2020-03-08,0,24,99,NA,NA,24,2465.7374022666,0.0750163732391115,0.040150260895177,NA,NA
2020-03-09,0,24,117,2686,0.0817175333973261,25,2686,0.0817175333973261,0.0435591958302308,"13","0.484393757503001"
2020-03-10,0,24,129,NA,NA,26,3105.09875847666,0.0944679864096035,0.0415445723418106,NA,NA
2020-03-11,0,26,149,3573,0.108703181991305,27,3573,0.108703181991305,0.0417016512734397,"14","0.28028028028028"
2020-03-12,0,26,149,3691,0.112293155535939,28,3691,0.112293155535939,0.0403684638309401,NA,NA
2020-03-13,0,26,197,NA,NA,29,4258.73141928925,0.129565534991248,0.0462579065464706,"15","0.300762439807384"
2020-03-14,0,35,238,4899,0.149044749111504,30,4899,0.149044749111504,0.0485813431312513,NA,NA
2020-03-15,0,42,428,NA,NA,31,5465.87168431382,0.166290972414509,0.0783040701866991,"16","0.193"
2020-03-16,0,42,566,NA,NA,32,6110.01347233846,0.185888023075808,0.0926348202933466,NA,NA
2020-03-17,2,49,673,6842,0.208157618579488,33,6842,0.208157618579488,0.0983630517392575,"17","0.1666"
2020-03-18,2,60,790,NA,NA,34,7811.13105241582,0.237641981624254,0.101137721886726,NA,NA
2020-03-19,2,75,900,8873,0.269947756453639,35,8873,0.269947756453639,0.101431308463879,"18","0.148689213528117"
2020-03-20,3,87,1030,10143,0.308585607315368,36,10143,0.308585607315368,0.101547865523021,NA,NA
2020-03-21,4,114,1183,NA,NA,37,10635.8716987823,0.323580491718382,0.111227366548192,"19","0.105"
2020-03-22,10,139,1306,11275,0.343025014540154,38,11275,0.343025014540154,0.115831485587583,NA,NA
2020-03-23,14,139,1518,13110,0.39885214550966,39,13110,0.39885214550966,0.115789473684211,"20","0.0222"
2020-03-24,16,183,1624,13594,0.413577121743578,40,13594,0.413577121743578,0.11946446961895,NA,NA
2020-03-25,20,199,1796,15820,0.481299843017759,41,15820,0.481299843017759,0.113527180783818,"21","0.00540648778534241"
2020-03-26,23,215,2031,16983,0.516682378885625,42,16983,0.516682378885625,0.119590178413708,NA,NA
2020-03-27,26,259,2161,24168,0.735275259548242,43,24168,0.735275259548242,0.0894157563720622,"22","0.189845474613687"
2020-03-28,27,320,2320,29461,0.896306869478267,44,29461,0.896306869478267,0.0787481755541224,NA,NA
2020-03-29,35,388,2470,NA,NA,45,30415.2268432632,0.925337794223933,0.0812093236301833,"23","0.171"
2020-03-30,37,479,2626,31206,0.949395885032375,46,31206,0.949395885032375,0.0841504838813049,NA,NA
2020-03-31,43,537,2766,32264,0.981583952915611,47,32264,0.981583952915611,0.0857302256384825,"24","0.475"
2020-04-01,45,645,2908,35802,1.08922231224537,48,35802,1.08922231224537,0.0812245125970616,NA,NA
2020-04-02,50,767,3116,37599,1.14389335003949,49,37599,1.14389335003949,0.0828745445357589,"25","0.477964743589744"
2020-04-03,53,827,3333,39458,1.20045064511977,50,39458,1.20045064511977,0.0844695625728623,NA,NA
2020-04-04,57,915,3483,40923,1.24502107938153,51,40923,1.24502107938153,0.0851110622388388,NA,NA
2020-04-05,61,1005,3662,43539,1.32460896745576,52,43539,1.32460896745576,0.0841085004249064,NA,NA
2020-04-06,62,1241,3793,47457,1.44380825853943,53,47457,1.44380825853943,0.0799249847230124,NA,NA
2020-04-07,63,1321,3963,52485,1.59677763974634,54,52485,1.59677763974634,0.0755072877965133,NA,NA
2020-04-08,65,1487,4119,58240,1.77186490880874,55,58240,1.77186490880874,0.0707245879120879,NA,NA
2020-04-09,67,1608,4228,63367,1.92784621697259,56,63367,1.92784621697259,0.0667224264995976,NA,NA
2020-04-10,70,1830,4346,67951,2.0673075621302,57,67951,2.0673075621302,0.063957851981575,NA,NA
