"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-02-11,0,0,0,61,0.00103880659582244,1,61,0.00103880659582244,0,NA,NA
2020-02-12,0,0,0,NA,NA,2,64.0245659743364,0.00109031379360833,0,NA,NA
2020-02-13,0,0,0,67,0.00114098429377219,3,67,0.00114098429377219,0,NA,NA
2020-02-14,0,0,0,71,0.00120910275907202,4,71,0.00120910275907202,0,NA,NA
2020-02-15,0,0,0,NA,NA,5,75.2920664362832,0.00128219500084011,0,NA,NA
2020-02-16,0,0,0,NA,NA,6,80.0870385857563,0.00136385154189955,0,NA,NA
2020-02-17,0,0,0,NA,NA,7,85.2331414764479,0.00145148770793653,0,"4","1"
2020-02-18,0,0,0,NA,NA,8,90.6263003567703,0.0015433311447905,0,NA,NA
2020-02-19,0,0,0,95,0.00161781355087101,9,95,0.00161781355087101,0,"5","1"
2020-02-20,0,0,0,106,0.00180513933044555,10,106,0.00180513933044555,0,NA,NA
2020-02-21,0,0,0,NA,NA,11,107.815129020701,0.00183605027870925,0,"6","1"
2020-02-22,0,0,0,NA,NA,12,110.736280206767,0.00188579637807952,0,NA,NA
2020-02-23,0,0,0,NA,NA,13,113.328569730176,0.0019299420743997,0,"7","1"
2020-02-24,0,0,0,116,0.00197543549369513,14,116,0.00197543549369513,0,NA,NA
2020-02-25,0,0,0,NA,NA,15,118.293150527062,0.0020144869930704,0,"8","1"
2020-02-26,0,0,0,121,0.00206058357531992,16,121,0.00206058357531992,0,NA,NA
2020-02-27,0,0,0,NA,NA,17,125.898012519055,0.00214399499375208,0,"9","1"
2020-02-28,0,0,0,NA,NA,18,131.593747027053,0.00224099123824514,0,NA,NA
2020-02-29,0,0,0,NA,NA,19,138.544670776673,0.0023593628181121,0,"10","1"
2020-03-01,0,0,0,NA,NA,20,146.909792252481,0.00250181755587958,0,NA,NA
2020-03-02,0,0,0,160,0.00272473861199329,21,160,0.00272473861199329,0,"11","1"
2020-03-03,0,0,0,164,0.00279285707729312,22,164,0.00279285707729312,0,NA,NA
2020-03-04,0,0,0,NA,NA,23,165.044545147938,0.0028106454217308,0,"12","1"
2020-03-05,0,0,1,NA,NA,24,176.568206850041,0.00300688899767389,0.0056635337575201,NA,NA
2020-03-06,0,0,1,200,0.00340592326499161,25,200,0.00340592326499161,0.005,"13","0.00580929487179487"
2020-03-07,0,0,1,241,0.00410413753431489,26,241,0.00410413753431489,0.004149377593361,NA,NA
2020-03-08,0,0,3,NA,NA,27,298.032058742472,0.0050753725919677,0.0100660311936183,"14","0.409009009009009"
2020-03-09,0,0,3,NA,NA,28,380.421368437942,0.00647843127210763,0.00788599234664019,NA,NA
2020-03-10,0,0,7,NA,NA,29,491.784024529235,0.00837489431796638,0.0142338905919134,"15","0.470859202884038"
2020-03-11,0,0,13,645,0.0109841025295979,30,645,0.0109841025295979,0.0201550387596899,NA,NA
2020-03-12,0,0,17,848,0.0144411146435644,31,848,0.0144411146435644,0.0200471698113208,"16","0.416883376675335"
2020-03-13,0,0,24,924,0.0157353654842612,32,924,0.0157353654842612,0.025974025974026,NA,NA
2020-03-14,0,0,38,1017,0.0173191198024823,33,1017,0.0173191198024823,0.0373647984267453,"17","0.00040281973816717"
2020-03-15,0,0,51,1476,0.0251357136956381,34,1476,0.0251357136956381,0.0345528455284553,NA,NA
2020-03-16,0,0,62,2405,0.0409562272615241,35,2405,0.0409562272615241,0.0257796257796258,"18","0.48036858974359"
2020-03-17,0,0,62,2911,0.0495732131219529,36,2911,0.0495732131219529,0.0212985228443834,NA,NA
2020-03-18,0,0,116,3070,0.0522809221176212,37,3070,0.0522809221176212,0.0377850162866449,"19","0.31057268722467"
2020-03-19,0,0,150,4832,0.0822871060821973,38,4832,0.0822871060821973,0.0310430463576159,NA,NA
2020-03-20,0,0,202,6438,0.10963666990008,39,6438,0.10963666990008,0.0313762037899969,"20","0.4574"
2020-03-21,0,0,240,7425,0.126444901212814,40,7425,0.126444901212814,0.0323232323232323,NA,NA
2020-03-22,0,0,274,9315,0.158630876066984,41,9315,0.158630876066984,0.0294149221685454,"21","0.319234642497482"
2020-03-23,0,0,402,12815,0.218234533204337,42,12815,0.218234533204337,0.0313694888802185,NA,NA
2020-03-24,0,4,554,15529,0.264452911910274,43,15529,0.264452911910274,0.035675188357267,"22","0.258154892935761"
2020-03-25,0,12,709,NA,NA,44,18291.1381316425,0.311491073323529,0.0387619400661283,NA,NA
2020-03-26,0,12,927,20471,0.348613275788216,45,20471,0.348613275788216,0.0452835718821748,"23","0.0597913322632424"
2020-03-27,1,31,1170,28537,0.485974161065328,46,28537,0.485974161065328,0.04099940428216,NA,NA
2020-03-28,1,31,1187,31963,0.544317626594634,47,31963,0.544317626594634,0.0371366892969997,"24","0.397191574724172"
2020-03-29,2,31,1280,35593,0.606135133854232,48,35593,0.606135133854232,0.0359621273845981,NA,NA
2020-03-30,3,31,1326,38409,0.654090533425314,49,38409,0.654090533425314,0.034523158634695,"25","0.442665599359616"
2020-03-31,5,31,1353,41072,0.699440401698677,50,41072,0.699440401698677,0.0329421503700818,NA,NA
2020-04-01,5,50,1380,44292,0.754275766265042,51,44292,0.754275766265042,0.031156868057437,"26","0.433"
2020-04-02,5,50,1462,47965,0.816825547026613,52,47965,0.816825547026613,0.0304805587407485,NA,NA
2020-04-03,9,95,1505,50361,0.857628507741212,53,50361,0.857628507741212,0.0298842358173984,NA,NA
2020-04-04,9,95,1585,53937,0.918526415719262,54,53937,0.918526415719262,0.0293861356768081,NA,NA
2020-04-05,11,95,1655,56873,0.968525369249339,55,56873,0.968525369249339,0.0290999243929457,NA,NA
2020-04-06,12,95,1686,58098,0.989386649247413,56,58098,0.989386649247413,0.029019931839306,NA,NA
2020-04-07,13,95,1749,NA,NA,57,61177.548196716,1.04183017906931,0.0285889194901388,NA,NA
2020-04-08,18,95,1845,63776,1.08608081074052,58,63776,1.08608081074052,0.0289293778223783,NA,NA
2020-04-09,18,95,1934,68874,1.17289779476516,59,68874,1.17289779476516,0.0280802625083486,NA,NA
2020-04-10,24,410,2003,73028,1.24363882097904,60,73028,1.24363882097904,0.0274278358985595,NA,NA
