"dates","deaths","recovered","confirmed","tests","test_pm","time","tests_int","tests_pm_int","cumulated","index","p-values"
2020-01-25,0,0,0,31,0.00046039005909151,1,31,0.00046039005909151,0,NA,NA
2020-01-26,0,0,0,52,0.000772267195895436,2,52,0.000772267195895436,0,NA,NA
2020-01-27,0,0,0,73,0.00108414433269936,3,73,0.00108414433269936,0,NA,NA
2020-01-28,0,0,0,97,0.00144057534618956,4,97,0.00144057534618956,0,NA,NA
2020-01-29,0,0,0,130,0.00193066798973859,5,130,0.00193066798973859,0,NA,NA
2020-01-30,0,0,0,161,0.0023910580488301,6,161,0.0023910580488301,0,NA,NA
2020-01-31,0,0,2,177,0.00262867872449023,7,177,0.00262867872449023,0.0112994350282486,"4","0.000200682319887618"
2020-02-01,0,0,2,203,0.00301481232243795,8,203,0.00301481232243795,0.00985221674876847,NA,NA
2020-02-02,0,0,2,266,0.00395044373284973,9,266,0.00395044373284973,0.0075187969924812,"5","0.246943275205452"
2020-02-03,0,0,2,326,0.00484152126657523,10,326,0.00484152126657523,0.00613496932515337,NA,NA
2020-02-04,0,0,2,416,0.00617813756716348,11,416,0.00617813756716348,0.00480769230769231,"6","0.0984590754452672"
2020-02-05,0,0,2,468,0.00695040476305892,12,468,0.00695040476305892,0.00427350427350427,NA,NA
2020-02-06,0,0,2,566,0.00840583140147724,13,566,0.00840583140147724,0.00353356890459364,"7","0.1356"
2020-02-07,0,0,3,620,0.00920780118183019,14,620,0.00920780118183019,0.00483870967741936,NA,NA
2020-02-08,0,0,3,686,0.0101879864689282,15,686,0.0101879864689282,0.0043731778425656,"8","0.4674"
2020-02-09,0,0,3,795,0.0118067773218629,16,795,0.0118067773218629,0.00377358490566038,NA,NA
2020-02-10,0,0,8,1114,0.0165443395428368,17,1114,0.0165443395428368,0.00718132854578097,"9","0.0462"
2020-02-11,0,0,8,1358,0.0201680548466539,18,1358,0.0201680548466539,0.00589101620029455,NA,NA
2020-02-12,0,1,9,1758,0.0261085717381572,19,1758,0.0261085717381572,0.00511945392491468,"10","0.254101640656263"
2020-02-13,0,1,9,2521,0.0374401077086999,20,2521,0.0374401077086999,0.00357001190003967,NA,NA
2020-02-14,0,1,9,2964,0.0440192301660398,21,2964,0.0440192301660398,0.00303643724696356,"11","0.4172"
2020-02-15,0,1,9,2992,0.0444350663484451,22,2992,0.0444350663484451,0.00300802139037433,NA,NA
2020-02-16,0,8,9,3109,0.0461726675392098,23,3109,0.0461726675392098,0.00289482148600836,"12","0.483186549239392"
2020-02-17,0,8,9,4501,0.0668456663216414,24,4501,0.0668456663216414,0.00199955565429904,NA,NA
2020-02-18,0,8,9,4916,0.0730089525965762,25,4916,0.0730089525965762,0.00183075671277461,"13","0.035084202085004"
2020-02-19,0,8,9,5207,0.0773306786351449,26,5207,0.0773306786351449,0.00172844248127521,NA,NA
2020-02-20,0,8,9,5549,0.0824098205773802,27,5549,0.0824098205773802,0.00162191385835286,"14","0.0450811460629132"
2020-02-21,0,8,9,5885,0.087399854766243,28,5885,0.087399854766243,0.00152931180968564,NA,NA
2020-02-22,0,8,9,6152,0.0913651497913215,29,6152,0.0913651497913215,0.0014629388816645,"15","0.0245127586899739"
2020-02-23,0,8,9,6324,0.093919572054668,30,6324,0.093919572054668,0.00142314990512334,NA,NA
2020-02-24,0,8,13,6536,0.0970680460071647,31,6536,0.0970680460071647,0.0019889840881273,"16","0.414007625928156"
2020-02-25,0,8,13,6795,0.100914530694413,32,6795,0.100914530694413,0.00191317144959529,NA,NA
2020-02-26,0,8,13,7132,0.105919416175505,33,7132,0.105919416175505,0.00182277061132922,"17","0.0392235341204723"
2020-02-27,0,8,15,7690,0.114206437239152,34,7690,0.114206437239152,0.00195058517555267,NA,NA
2020-02-28,0,8,20,8986,0.133453711967623,35,8986,0.133453711967623,0.00222568439795237,"18","0.0596596596596597"
2020-02-29,0,8,23,10483,0.155686096434074,36,10483,0.155686096434074,0.00219402842697701,NA,NA
2020-03-01,0,8,36,11750,0.174502683687911,37,11750,0.174502683687911,0.00306382978723404,"19","0.207207207207207"
2020-03-02,0,8,40,13525,0.200863727393957,38,13525,0.200863727393957,0.00295748613678373,NA,NA
2020-03-03,0,8,51,13911,0.206596326194258,39,13911,0.206596326194258,0.00366616346775933,"20","0.0771094065401696"
2020-03-04,0,8,86,16659,0.247407677238886,40,16659,0.247407677238886,0.00516237469235848,NA,NA
2020-03-05,1,8,116,18083,0.268555917372638,41,18083,0.268555917372638,0.00641486479013438,"21","0.406043626175705"
2020-03-06,2,8,164,20338,0.302045581348488,42,20338,0.302045581348488,0.00806372307994886,NA,NA
2020-03-07,2,18,207,21460,0.318708731229155,43,21460,0.318708731229155,0.00964585274930103,"22","0.195146409947854"
2020-03-08,3,18,274,23513,0.349198434174796,44,23513,0.349198434174796,0.0116531280568196,NA,NA
2020-03-09,4,18,322,24960,0.370688254029809,45,24960,0.370688254029809,0.012900641025641,"23","0.324324324324324"
2020-03-10,6,19,384,26261,0.390009785219424,46,26261,0.390009785219424,0.0146224439282586,NA,NA
2020-03-11,8,19,459,27476,0.408054105277365,47,27476,0.408054105277365,0.0167054884262629,"24","0.269053810762152"
2020-03-12,8,19,459,29764,0.442033861896764,48,29764,0.442033861896764,0.0154213143394705,NA,NA
2020-03-13,8,19,802,32771,0.486691697628641,49,32771,0.486691697628641,0.0244728570992646,"25","0.0871918220084185"
2020-03-14,21,19,1144,37746,0.560576876466714,50,37746,0.560576876466714,0.0303078471891061,NA,NA
2020-03-15,21,19,1145,40279,0.598195199682159,51,40279,0.598195199682159,0.02842672360287,"26","0.440528634361233"
2020-03-16,56,21,1551,44105,0.655016243749388,52,44105,0.655016243749388,0.0351660809432037,NA,NA
2020-03-17,56,53,1960,50442,0.74912888260303,53,50442,0.74912888260303,0.0388565084651679,"27","0.327305605786618"
2020-03-18,72,67,2642,56221,0.834954500393025,54,56221,0.834954500393025,0.0469931164511481,NA,NA
2020-03-19,138,67,2716,64621,0.959705355114595,55,64621,0.959705355114595,0.0420296807539345,"28","0.246147688613168"
2020-03-20,178,67,4014,66976,0.994680148313321,56,66976,0.994680148313321,0.0599319159101768,NA,NA
2020-03-21,234,67,5067,72818,1.08144139751373,57,72818,1.08144139751373,0.06958444340685,"29","0.260817307692308"
2020-03-22,282,67,5745,78340,1.16345023320093,58,78340,1.16345023320093,0.0733341843247383,NA,NA
2020-03-23,336,67,6726,83945,1.24669172614312,59,83945,1.24669172614312,0.0801238906426827,"30","0.368168168168168"
2020-03-24,423,140,8164,90436,1.34309146399999,60,90436,1.34309146399999,0.0902737847759742,NA,NA
2020-03-25,466,140,9640,97019,1.44085752074191,61,97019,1.44085752074191,0.0993619806429668,"31","0.44044044044044"
2020-03-26,580,150,11812,104866,1.55739561086098,62,104866,1.55739561086098,0.112638986897565,NA,NA
2020-03-27,761,151,14745,113777,1.68973547591144,63,113777,1.68973547591144,0.129595612470007,"32","0.1716"
2020-03-28,1021,151,17312,120776,1.79367967022052,64,120776,1.79367967022052,0.143339736371465,NA,NA
2020-03-29,1231,151,19780,127737,1.89705951542491,65,127737,1.89705951542491,0.154849417161825,"33","0.0496695373522932"
2020-03-30,1411,171,22453,134946,2.00412248110203,66,134946,2.00412248110203,0.166385072547538,NA,NA
2020-03-31,1793,179,25481,143186,2.126497129067,67,143186,2.126497129067,0.17795734219826,"34","0.0427367576243981"
2020-04-01,2357,179,29865,152979,2.27193583386323,68,152979,2.27193583386323,0.195222873727767,NA,NA
2020-04-02,2926,192,34173,163194,2.42364178397999,69,163194,2.42364178397999,0.209401080922093,"35","0.0146"
2020-04-03,3611,208,38689,173784,2.58091696868255,70,173784,2.58091696868255,0.222626939188878,NA,NA
2020-04-04,4320,215,42477,183190,2.72060822338625,71,183190,2.72060822338625,0.231874010590098,NA,NA
2020-04-05,4943,229,48436,195524,2.90378406173575,72,195524,2.90378406173575,0.247724064564964,NA,NA
2020-04-06,5385,287,52279,208837,3.10149931517721,73,208837,3.10149931517721,0.250333992539636,NA,NA
2020-04-07,6171,325,55949,213181,3.16601332861894,74,213181,3.16601332861894,0.262448342019223,NA,NA
2020-04-08,7111,345,61474,232708,3.4560145119699,75,232708,3.4560145119699,0.264167970160029,NA,NA
2020-04-09,7993,359,65872,243421,3.61511640561659,76,243421,3.61511640561659,0.270609355807428,NA,NA
2020-04-10,8974,588,74605,256605,3.81091584236054,77,256605,3.81091584236054,0.290738683969525,NA,NA
