"","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper"
"1","2020-02-11","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-13","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-15","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-17","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-19","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-21","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-23","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-27","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-29","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-02","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-03-04","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-03-06","-0.693147180559945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-03-08","0.699728594824296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-03-10","0.346459275198348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-03-12","0.342462204789705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-03-14","0.622641055413513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-03-16","-0.371144561172596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-03-18","0.382328148019892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-03-20","-0.185862864982671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-03-22","-0.0645476621900696","-0.0645476621900696","0.014456047509455","-0.387290767847667","0.419873763522827","-0.0645476621900696","-0.0645476621900696","-0.0645476621900696","-0.0790037096995246","-0.484421425712897","0.322743105657598","0","0","0"
"22","2020-03-24","0.192953340825713","0.128405678635644","0.0515125267188463","-0.366440072325913","0.441578994953751","0.128405678635644","0.128405678635644","0.128405678635644","0.141440814106867","-0.248625654128037","0.559393413151626","0","0","0"
"23","2020-03-26","0.238488871947139","0.366894550582783","0.050560463124172","-0.370081366162487","0.449913295477527","0.366894550582783","0.366894550582783","0.366894550582783","0.187928408822967","-0.211424423530388","0.608570238109626","0","0","0"
"24","2020-03-28","-0.198338904324682","0.168555646258101","-0.00842103549476974","-0.419757202917193","0.410616947401329","0.168555646258101","0.168555646258101","0.168555646258101","-0.189917868829912","-0.608955851726011","0.221418298592511","0","0","0"
"25","2020-03-30","-0.0729750471690327","0.0955805990890681","-0.00920525147295448","-0.455988764718186","0.446424168391761","0.159350394785146","-0.287433118460086","0.614979814649862","-0.0637697956960782","-0.519399215560794","0.383013717549154","-0.0637697956960782","-0.519399215560794","0.383013717549154"
"26","2020-04-01","-0.102595659298268","-0.00701506020919984","-0.0101439654129604","-0.486590114511907","0.469046592063445","0.149206429372186","-0.624496577670571","0.937817919425829","-0.0924516938853076","-0.571642251361713","0.383994455213639","-0.156221489581386","-0.944832979635029","0.617481517461371"
"27","2020-04-03","-0.0417035931407987","-0.0487186533499986","-0.0113670575508495","-0.517509861991853","0.518990739419051","0.137839371821336","-0.962954073859134","1.26787248593913","-0.0303365355899493","-0.56069433255985","0.475806268851054","-0.186558025171335","-1.31659113928913","0.914235420509136"
"28","2020-04-05","-0.0265955351810789","-0.0753141885310775","-0.0127726128858662","-0.561492417450674","0.531170532565403","0.12506675893547","-1.32819051186965","1.6115772995484","-0.0138229222952127","-0.557766067746482","0.534896882269595","-0.200380947466548","-1.68689148807948","1.25287632333857"
"29","2020-04-07","-0.0177163636529842","-0.0930305521840618","-0.0114572112015089","-0.578526330795192","0.549256007304761","0.113609547733961","-1.74431993477922","2.02183289539609",NA,NA,NA,NA,NA,NA
